Word,Hits,Non-hits,Total,Hit Rate
market,0,0,0,0.0
prime,35,15,50,0.7
footbal,24,26,50,0.48
claim,21,29,50,0.42
emerg,33,17,50,0.66
busi,33,67,100,0.33
degre,0,0,0,0.0
energi,18,32,50,0.36
given,16,34,50,0.32
opposit,31,19,50,0.62
call,13,37,50,0.26
across,21,29,50,0.42
behind,29,21,50,0.58
question,64,36,100,0.64
nation,20,30,50,0.4
better,11,39,50,0.22
where,23,27,50,0.46
whether,19,31,50,0.38
least,19,31,50,0.38
meet,21,29,50,0.42
clear,11,39,50,0.22
again,25,25,50,0.5
live,27,73,100,0.27
global,23,27,50,0.46
guilti,26,24,50,0.52
these,8,42,50,0.16
voter,27,23,50,0.54
coupl,23,27,50,0.46
statement,28,22,50,0.56
short,24,26,50,0.48
children,24,26,50,0.48
itself,24,26,50,0.48
someth,23,27,50,0.46
part,35,15,50,0.7
sens,0,0,0,0.0
money,14,36,50,0.28
even,26,24,50,0.52
southern,0,0,0,0.0
affair,23,27,50,0.46
secretari,26,24,50,0.52
impact,28,22,50,0.56
inflat,31,19,50,0.62
cancer,0,50,50,0.0
go,5,45,50,0.1
educ,26,24,50,0.52
latest,0,50,50,0.0
level,39,61,100,0.39
evid,21,29,50,0.42
extra,24,26,50,0.48
talk,42,58,100,0.42
differ,42,58,100,0.42
cours,0,0,0,0.0
those,9,41,50,0.18
deficit,25,25,50,0.5
detail,25,25,50,0.5
front,16,34,50,0.32
parti,43,57,100,0.43
futur,24,26,50,0.48
messag,0,0,0,0.0
economi,25,25,50,0.5
parent,26,24,50,0.52
jame,32,18,50,0.64
do,14,36,50,0.28
middl,0,0,0,0.0
ireland,27,23,50,0.54
support,25,25,50,0.5
heart,18,32,50,0.36
watch,22,28,50,0.44
be,20,30,50,0.4
taken,9,41,50,0.18
north,0,50,50,0.0
industri,21,29,50,0.42
longer,20,30,50,0.4
within,12,38,50,0.24
earli,25,25,50,0.5
union,21,29,50,0.42
young,19,31,50,0.38
could,5,45,50,0.1
temperatur,45,5,50,0.9
speech,34,16,50,0.68
say,6,44,50,0.12
rule,24,26,50,0.48
allow,49,51,100,0.49
black,13,37,50,0.26
rather,17,33,50,0.34
without,27,23,50,0.54
befor,32,18,50,0.64
describ,0,50,50,0.0
presid,20,30,50,0.4
decis,0,0,0,0.0
phone,17,33,50,0.34
concern,20,30,50,0.4
conflict,27,23,50,0.54
offici,29,21,50,0.58
perhap,36,14,50,0.72
have,13,37,50,0.26
respons,0,0,0,0.0
other,34,66,100,0.34
legal,22,28,50,0.44
known,14,36,50,0.28
answer,4,46,50,0.08
themselv,20,30,50,0.4
media,14,36,50,0.28
like,25,25,50,0.5
often,9,41,50,0.18
report,70,30,100,0.7
africa,0,0,0,0.0
seem,19,31,50,0.38
amount,18,32,50,0.36
oper,27,23,50,0.54
justic,23,27,50,0.46
offic,49,51,100,0.49
provid,0,0,0,0.0
independ,12,38,50,0.24
polici,18,32,50,0.36
brought,20,30,50,0.4
someon,0,50,50,0.0
power,54,46,100,0.54
until,4,46,50,0.08
run,22,28,50,0.44
hour,16,34,50,0.32
foreign,29,21,50,0.58
crime,34,16,50,0.68
group,26,24,50,0.52
noth,10,40,50,0.2
debat,20,30,50,0.4
home,29,21,50,0.58
benefit,64,36,100,0.64
among,28,22,50,0.56
process,16,34,50,0.32
action,13,37,50,0.26
georg,0,50,50,0.0
get,14,36,50,0.28
area,23,27,50,0.46
threat,17,33,50,0.34
greec,18,32,50,0.36
scotland,0,0,0,0.0
alreadi,22,28,50,0.44
larg,26,24,50,0.52
word,16,34,50,0.32
whole,20,30,50,0.4
after,17,33,50,0.34
health,16,34,50,0.32
council,18,32,50,0.36
peopl,27,23,50,0.54
